S/N,Agency,Identified Component,Identified parameters,Suggested Revit Representation,Suggested Archicad Representation,Suggested Tekla Structures Representation,Suggested Bentley OpenBuildings Representation,Suggested Discipline,"IFC4
 Entities","IFC Sub Types
(* = USERDEFINED)",Property Set,Property Name,Property Type,Property Unit,"IFC4
Material Set","Accepted Values 
(for parameters with Input Limitations)","Sample Value for Reference
(for parameters without Input Limitations)",,,,,
200,NPARKS,Green Verge,Area,Toposolid,Mesh,N.A,Mesh,External Works,IfcGeographicElement,*GREENVERGES,SGPset_GeographicElementDimension,Area,Area,m2,N.A,N.A,N.A,IfcGeographicElementGREENVERGES,okay,GeographicElement,GeographicElement,okay
201,NPARKS,Green Verge,Shrub Species,Toposolid,Mesh,N.A,Mesh,External Works,IfcGeographicElement,*GREENVERGES,SGPset_GeographicElement,ShrubSpecies,Label,N.A,N.A,N.A,N.A,IfcGeographicElementGREENVERGES,okay,GeographicElement,GeographicElement,okay
202,NPARKS,Green Verge,Status,Toposolid,Mesh,N.A,Mesh,External Works,IfcGeographicElement,*GREENVERGES,SGPset_GeographicElement,Status,Label,N.A,N.A,"Existing, Proposed, To be Removed",N.A,IfcGeographicElementGREENVERGES,okay,GeographicElement,GeographicElement,okay
203,NPARKS,Green Verge,ALS Greenery Feature,Toposolid,Mesh,N.A,Mesh,External Works,IfcSpace,*AREA_GFA,SGPset_SpaceArea_Landscape,ALS_GreeneryFeatures,Label,N.A,N.A,Green Verge,N.A,IfcSpaceAREA_GFA,okay,Space,Space,okay
204,NPARKS,Green Verge,ALS Landscape Type,Toposolid,Mesh,N.A,Mesh,External Works,IfcSpace,*AREA_GFA,SGPset_SpaceArea_Landscape,ALS_LandscapeType,Label,N.A,N.A,"Turfing, Groundcover, Shrubs",N.A,IfcSpaceAREA_GFA,okay,Space,Space,okay
205,NPARKS,Green Verge,ALS Status,Toposolid,Mesh,N.A,Mesh,External Works,IfcSpace,*AREA_GFA,SGPset_SpaceArea_Landscape,ALS_Status,Label,N.A,N.A,"Existing, Proposed, To be Removed",N.A,IfcSpaceAREA_GFA,okay,Space,Space,okay
206,NEA,Gutter,System Name,Plumbing Fixtures,Pipe,N.A,Drains&Basins,MEP,IfcPipeSegment,GUTTER,SGPset_PipeSegment,SystemName,Label,N.A,N.A,N.A,N.A,IfcPipeSegmentGUTTER,check,PipeSegment,PipeSegment,okay
207,NEA,Gutter,System Type,Plumbing Fixtures,Pipe,N.A,Drains&Basins,MEP,IfcPipeSegment,GUTTER,SGPset_PipeSegment,SystemType,Label,N.A,N.A,N.A,Drainage,IfcPipeSegmentGUTTER,check,PipeSegment,PipeSegment,okay
208,PUB,Gutter,Construction Method,Generic Models,Object,"Slab, Panel",Drains&Basins,MEP,IfcCivilElement,*GUTTER,SGPset_CivilElement,ConstructionMethod,Label,N.A,N.A,N.A,N.A,IfcCivilElementGUTTER,skip,CivilElement,CivilElement,okay
209,PUB,Gutter,Height,Generic Models,Object,"Slab, Panel",Drains&Basins,MEP,IfcCivilElement,*GUTTER,SGPset_CivilElementDimension,Height,Length,mm,N.A,N.A,N.A,IfcCivilElementGUTTER,skip,CivilElement,CivilElement,okay
210,PUB,Gutter,Length,Generic Models,Object,"Slab, Panel",Drains&Basins,MEP,IfcCivilElement,*GUTTER,SGPset_CivilElementDimension,Length,Length,mm,N.A,N.A,N.A,IfcCivilElementGUTTER,skip,CivilElement,CivilElement,okay
211,PUB,Gutter,Public,Generic Models,Object,"Slab, Panel",Drains&Basins,MEP,IfcCivilElement,*GUTTER,SGPset_CivilElement,Public,Boolean,N.A,N.A,TRUE/FALSE,N.A,IfcCivilElementGUTTER,skip,CivilElement,CivilElement,okay
212,PUB,Gutter,Thickness,Generic Models,Object,"Slab, Panel",Drains&Basins,MEP,IfcCivilElement,*GUTTER,SGPset_CivilElementDimension,Thickness,Length,mm,N.A,N.A,N.A,IfcCivilElementGUTTER,skip,CivilElement,CivilElement,okay
213,PUB,Gutter,Width,Generic Models,Object,"Slab, Panel",Drains&Basins,MEP,IfcCivilElement,*GUTTER,SGPset_CivilElementDimension,Width,Length,mm,N.A,N.A,N.A,IfcCivilElementGUTTER,skip,CivilElement,CivilElement,okay
214,PUB,Gutter,System Name,Generic Models,Object,"Slab, Panel",Drains&Basins,MEP,IfcCivilElement,*GUTTER,SGPset_CivilElementDimension,SystemName,Label,N.A,N.A,N.A,N.A,,skip,,,
215,PUB,Gutter,System Type,Generic Models,Object,"Slab, Panel",Drains&Basins,MEP,IfcCivilElement,*GUTTER,SGPset_CivilElementDimension,SystemType,Label,N.A,N.A,N.A,Drainage,,skip,,,
216,SCDF,Hose Reel,N.A,Mechanical Equipment,Pipe Flow Terminal,N.A,Pipe,MEP,IfcFireSuppressionTerminal,HOSEREEL,Please refer to property sets below,Please refer to properties below,Length,mm,N.A,N.A,N.A,IfcFireSuppressionTerminalHOSEREEL,check,FireSuppressionTerminal,#N/A,#N/A
217,SCDF,Hose Reel,N.A,Mechanical Equipment,Pipe,N.A,Pipe,MEP,IfcFireSuppressionTerminal,*STANDBYFIREHOSE,Please refer to property sets below,Please refer to properties below,N.A,N.A,N.A,N.A,N.A,IfcFireSuppressionTerminalSTANDBYFIREHOSE,okay,FireSuppressionTerminal,#N/A,#N/A
218,SCDF,Hose Reel,Hose Nominal Diameter,Mechanical Equipment,Pipe,N.A,Pipe,MEP,IfcFireSuppressionTerminal,"HOSEREEL, *STANDBYFIREHOSE",SGPset_FireSuppressionTerminal,Hose_NominalDiameter,Length,mm,N.A,N.A,N.A,"IfcFireSuppressionTerminalHOSEREEL, *STANDBYFIREHOSE",skip,FireSuppressionTerminal,FireSuppressionTerminal,okay
219,BCA,Household Shelter,Space Name,Areas,Zone,N.A,Space,ARC,IfcSpace,SPACE,SGPset_Space,SpaceName,Label,N.A,N.A,"Household Shelter, Setback",N.A,IfcSpaceSPACE,check,Space,Space,okay
220,BCA,Household Shelter,Construction Method,Areas,Zone,N.A,Space,ARC,IfcSpace,SPACE,SGPset_Space,ConstructionMethod,Label,N.A,N.A,"Precast, Prefab, CIS",N.A,IfcSpaceSPACE,check,Space,Space,okay
221,BCA,Household Shelter,Area,Areas,Zone,N.A,Space,ARC,IfcSpace,SPACE,SGPset_SpaceDimension,Area,Area,m2,N.A,N.A,N.A,IfcSpaceSPACE,check,Space,Space,okay
222,BCA,Household Shelter,Internal Length,Areas,Zone,N.A,Space,ARC,IfcSpace,SPACE,SGPset_SpaceDimension,InternalLength,Length,mm,N.A,N.A,N.A,IfcSpaceSPACE,check,Space,Space,okay
223,BCA,Household Shelter,Internal Width,Areas,Zone,N.A,Space,ARC,IfcSpace,SPACE,SGPset_SpaceDimension,InternalWidth,Length,mm,N.A,N.A,N.A,IfcSpaceSPACE,check,Space,Space,okay
224,BCA,Household Shelter,AGF Name,Areas,Zone,N.A,Space,ARC,IfcSpace,*AREA_GFA,SGPset_SpaceArea_GFA,AGF_Name,Label,N.A,N.A,Household Shelter,N.A,IfcSpaceAREA_GFA,okay,Space,Space,okay
225,BCA,Household Shelter,N.A,Areas,Zone,N.A,Space,ARC,IfcSpace,*HSSETBACK,N.A,N.A,N.A,N.A,N.A,N.A,N.A,IfcSpaceHSSETBACK,okay,Space,#N/A,#N/A
226,BCA,Household Shelter,Construction Method,Areas,Zone,N.A,Space,ARC,IfcWall,N.A,SGPset_Wall,ConstructionMethod,Label,N.A,N.A,"CIS, PC, PT (Pre), PT (Post), PF, PPVC, Spun",N.A,IfcWallN.A,skip,Wall,Wall,okay
227,BCA,Household Shelter,Thickness,Areas,Zone,N.A,Space,ARC,IfcWall,N.A,SGPset_WallDimension,Thickness,Length,mm,N.A,N.A,300,IfcWallN.A,skip,Wall,Wall,okay
228,BCA,Household Shelter,Shelter Usage,Areas,Zone,N.A,Space,ARC,IfcWall,N.A,SGPset_Wall,ShelterUsage,Boolean,N.A,N.A,TRUE/FALSE,N.A,IfcWallN.A,skip,Wall,Wall,okay
229,BCA,Household Shelter,N.A,Lighting Fixtures,Lighting Fixtures,N.A,Object,ARC,IfcLightFixture,N.A,N.A,N.A,N.A,N.A,N.A,N.A,N.A,IfcLightFixtureN.A,skip,LightFixture,#N/A,#N/A
230,BCA,Household Shelter,N.A,"Electrical Equipment, Communication Devices, Electrical Fixtures","Flow Equipment, Object",N.A,"Equipment, Object",ARC,IfcOutlet,COMMUNICATIONSOUTLET,N.A,N.A,N.A,N.A,N.A,N.A,N.A,IfcOutletCOMMUNICATIONSOUTLET,check,Outlet,#N/A,#N/A
231,BCA,Household Shelter,N.A,"Electrical Equipment, Communication Devices, Electrical Fixtures","Flow Equipment, Object",N.A,"Equipment, Object",ARC,IfcOutlet,DATAOUTLET,N.A,N.A,N.A,N.A,N.A,N.A,N.A,IfcOutletDATAOUTLET,check,Outlet,#N/A,#N/A
232,BCA,Household Shelter,N.A,"Electrical Equipment, Communication Devices, Electrical Fixtures","Flow Equipment, Object",N.A,"Equipment, Object",ARC,IfcOutlet,POWEROUTLET,N.A,N.A,N.A,N.A,N.A,N.A,N.A,IfcOutletPOWEROUTLET,check,Outlet,#N/A,#N/A
233,BCA,Household Shelter,N.A,"Electrical Fixtures, Specialty Equipment, Lighting Devices",Object,N.A,Object,ARC,IfcSwitchingDevice,N.A,N.A,N.A,N.A,N.A,N.A,N.A,N.A,IfcSwitchingDeviceN.A,skip,SwitchingDevice,#N/A,#N/A
234,PUB,Interceptor,N.A,Plumbing Fixtures,Flow Equipment,N.A,Equipment,MEP,IfcInterceptor,GREASE,Please refer to property sets below,Please refer to properties below,N.A,N.A,N.A,N.A,N.A,IfcInterceptorGREASE,check,Interceptor,#N/A,#N/A
235,PUB,Interceptor,N.A,Plumbing Fixtures,Flow Equipment,N.A,Equipment,MEP,IfcInterceptor,OIL,Please refer to property sets below,Please refer to properties below,N.A,N.A,N.A,N.A,N.A,IfcInterceptorOIL,check,Interceptor,#N/A,#N/A
236,PUB,Interceptor,Comply to PUB Standard Drawing,Plumbing Fixtures,Flow Equipment,N.A,Equipment,MEP,IfcInterceptor,"GREASE, OIL",SGPset_Interceptor,ComplyToPUBStandardDrawing,Boolean,N.A,N.A,TRUE/FALSE,N.A,"IfcInterceptorGREASE, OIL",skip,Interceptor,Interceptor,okay
237,PUB,Interceptor,Refer to Drawing Number,Plumbing Fixtures,Flow Equipment,N.A,Equipment,MEP,IfcInterceptor,"GREASE, OIL",SGPset_Interceptor,ReferToDrawingNumber,Label,N.A,N.A,N.A,N.A,"IfcInterceptorGREASE, OIL",skip,Interceptor,Interceptor,okay
238,PUB,Interceptor,Invert Level,Plumbing Fixtures,Flow Equipment,N.A,Equipment,MEP,IfcInterceptor,"GREASE, OIL",SGPset_InterceptorDimension,InvertLevel,Real,SHD m,N.A,N.A,N.A,"IfcInterceptorGREASE, OIL",skip,Interceptor,Interceptor,okay
239,PUB,Interceptor,Top Level,Plumbing Fixtures,Flow Equipment,N.A,Equipment,MEP,IfcInterceptor,"GREASE, OIL",SGPset_InterceptorDimension,TopLevel,Real,SHD m,N.A,N.A,N.A,"IfcInterceptorGREASE, OIL",skip,Interceptor,Interceptor,okay
240,PUB,Interceptor,Diameter,Plumbing Fixtures,Flow Equipment,N.A,Equipment,MEP,IfcInterceptor,"GREASE, OIL",SGPset_InterceptorDimension,Diameter,Length,mm,N.A,N.A,N.A,"IfcInterceptorGREASE, OIL",skip,Interceptor,Interceptor,okay
241,PUB,Interceptor,Height,Plumbing Fixtures,Flow Equipment,N.A,Equipment,MEP,IfcInterceptor,"GREASE, OIL",SGPset_InterceptorDimension,Height,Length,mm,N.A,N.A,N.A,"IfcInterceptorGREASE, OIL",skip,Interceptor,Interceptor,okay
242,PUB,Interceptor,Length,Plumbing Fixtures,Flow Equipment,N.A,Equipment,MEP,IfcInterceptor,"GREASE, OIL",SGPset_InterceptorDimension,Length,Length,mm,N.A,N.A,N.A,"IfcInterceptorGREASE, OIL",skip,Interceptor,Interceptor,okay
243,PUB,Interceptor,Width,Plumbing Fixtures,Flow Equipment,N.A,Equipment,MEP,IfcInterceptor,"GREASE, OIL",SGPset_InterceptorDimension,Width,Length,mm,N.A,N.A,N.A,"IfcInterceptorGREASE, OIL",skip,Interceptor,Interceptor,okay
244,PUB,Interceptor,Trade Effluent,Plumbing Fixtures,Flow Equipment,N.A,Equipment,MEP,IfcInterceptor,"GREASE, OIL",SGPset_InterceptorDimension,TradeEffluent,Boolean,N.A,N.A,TRUE/FALSE,N.A,"IfcInterceptorGREASE, OIL",skip,Interceptor,Interceptor,okay
245,PUB,Interceptor,System Type,Plumbing Fixtures,Flow Equipment,N.A,Equipment,MEP,IfcInterceptor,"GREASE, OIL",SGPset_InterceptorDimension,SystemType,Label,N.A,N.A,N.A,"Sanitary, Sewerage","IfcInterceptorGREASE, OIL",skip,Interceptor,Interceptor,okay
246,PUB,Interceptor,System Name,Plumbing Fixtures,Flow Equipment,N.A,Equipment,MEP,IfcInterceptor,"GREASE, OIL",SGPset_InterceptorDimension,SystemName,Label,N.A,N.A,N.A,N.A,"IfcInterceptorGREASE, OIL",skip,Interceptor,Interceptor,okay
247,LTA,Lamp Post,N.A,Lighting Fixtures,Lighting Fixtures,N.A,Object,ARC,IfcCivilElement,*LAMPPOST,N.A,N.A,N.A,N.A,N.A,N.A,N.A,IfcCivilElementLAMPPOST,skip,CivilElement,#N/A,#N/A
248,NPARKS,Landscape Plants,N.A,Planting,Object,N.A,Object,ARC,IfcGeographicElement,*LANDSCAPE_TREE,Please refer to property sets below,Please refer to properties below,N.A,N.A,N.A,N.A,N.A,IfcGeographicElementLANDSCAPE_TREE,okay,GeographicElement,#N/A,#N/A
249,NPARKS,Landscape Plants,N.A,Planting,Object,N.A,Object,ARC,IfcGeographicElement,*LANDSCAPE_PALM,Please refer to property sets below,Please refer to properties below,N.A,N.A,N.A,N.A,N.A,IfcGeographicElementLANDSCAPE_PALM,okay,GeographicElement,#N/A,#N/A
250,NPARKS,Landscape Plants,N.A,Planting,Object,N.A,Object,ARC,IfcGeographicElement,*LANDSCAPE_HEDGE,Please refer to property sets below,Please refer to properties below,N.A,N.A,N.A,N.A,N.A,IfcGeographicElementLANDSCAPE_HEDGE,okay,GeographicElement,#N/A,#N/A
251,NPARKS,Landscape Plants,Girth,Planting,Object,N.A,Object,ARC,IfcGeographicElement,"*LANDSCAPE_TREE, *LANDSCAPE_PALM",SGPset_GeographicElementDimension,Girth,Length,mm,N.A,N.A,"100, 300, 1000","IfcGeographicElementLANDSCAPE_TREE, *LANDSCAPE_PALM",skip,GeographicElement,GeographicElement,okay
252,NPARKS,Landscape Plants,Hedge Number,Planting,Object,N.A,Object,ARC,IfcGeographicElement,*LANDSCAPE_HEDGE,SGPset_GeographicElement,HedgeNumber,Label,N.A,N.A,N.A,"H001, H002, H003",IfcGeographicElementLANDSCAPE_HEDGE,okay,GeographicElement,GeographicElement,okay
253,NPARKS,Landscape Plants,Height,Planting,Object,N.A,Object,ARC,IfcGeographicElement,"*LANDSCAPE_TREE, *LANDSCAPE_PALM, *LANDSCAPE_HEDGE",SGPset_GeographicElementDimension,Height,Length,mm,N.A,N.A,"2500, 10000","IfcGeographicElementLANDSCAPE_TREE, *LANDSCAPE_PALM, *LANDSCAPE_HEDGE",skip,GeographicElement,GeographicElement,okay
254,NPARKS,Landscape Plants,Reason For Removal,Planting,Object,N.A,Object,ARC,IfcGeographicElement,"*LANDSCAPE_TREE, *LANDSCAPE_PALM",SGPset_GeographicElement,ReasonForRemoval,Label,N.A,N.A,N.A,N.A,"IfcGeographicElementLANDSCAPE_TREE, *LANDSCAPE_PALM",skip,GeographicElement,GeographicElement,okay
255,NPARKS,Landscape Plants,Roadside,Planting,Object,N.A,Object,ARC,IfcGeographicElement,"*LANDSCAPE_TREE, *LANDSCAPE_PALM",SGPset_GeographicElement,Roadside,Boolean,N.A,N.A,TRUE/FALSE,N.A,"IfcGeographicElementLANDSCAPE_TREE, *LANDSCAPE_PALM",skip,GeographicElement,GeographicElement,okay
256,NPARKS,Landscape Plants,Single Stem,Planting,Object,N.A,Object,ARC,IfcGeographicElement,"*LANDSCAPE_TREE, *LANDSCAPE_PALM",SGPset_GeographicElement,SingleStem,Boolean,N.A,N.A,TRUE/FALSE,N.A,"IfcGeographicElementLANDSCAPE_TREE, *LANDSCAPE_PALM",skip,GeographicElement,GeographicElement,okay
257,NPARKS,Landscape Plants,Species,Planting,Object,N.A,Object,ARC,IfcGeographicElement,"*LANDSCAPE_TREE, *LANDSCAPE_PALM, *LANDSCAPE_HEDGE",SGPset_GeographicElement,Species,Label,N.A,N.A,N.A,"Samanea saman, Cyrtostachys renda, Gardenia tubifera","IfcGeographicElementLANDSCAPE_TREE, *LANDSCAPE_PALM, *LANDSCAPE_HEDGE",skip,GeographicElement,GeographicElement,okay
258,NPARKS,Landscape Plants,Status,Planting,Object,N.A,Object,ARC,IfcGeographicElement,"*LANDSCAPE_TREE, *LANDSCAPE_PALM, *LANDSCAPE_HEDGE",SGPset_GeographicElement,Status,Label,N.A,N.A,"Existing, Proposed, To be Removed, To be Transplanted",N.A,"IfcGeographicElementLANDSCAPE_TREE, *LANDSCAPE_PALM, *LANDSCAPE_HEDGE",skip,GeographicElement,GeographicElement,okay
259,NPARKS,Landscape Plants,Tree Number,Planting,Object,N.A,Object,ARC,IfcGeographicElement,"*LANDSCAPE_TREE, *LANDSCAPE_PALM",SGPset_GeographicElement,TreeNumber,Label,N.A,N.A,N.A,"T001, T002, T003","IfcGeographicElementLANDSCAPE_TREE, *LANDSCAPE_PALM",skip,GeographicElement,GeographicElement,okay
260,NPARKS,Landscape Plants,Tree Size,Planting,Object,N.A,Object,ARC,IfcGeographicElement,"*LANDSCAPE_TREE, *LANDSCAPE_PALM",SGPset_GeographicElement,TreeSize,Label,N.A,N.A,N.A,"Small to medium, Large","IfcGeographicElementLANDSCAPE_TREE, *LANDSCAPE_PALM",skip,GeographicElement,GeographicElement,okay
261,NPARKS,Landscape Plants,Turf,Planting,Object,N.A,Object,ARC,IfcGeographicElement,"*LANDSCAPE_TREE, *LANDSCAPE_PALM, *LANDSCAPE_HEDGE",SGPset_GeographicElement,Turf,Boolean,N.A,N.A,TRUE/FALSE,N.A,"IfcGeographicElementLANDSCAPE_TREE, *LANDSCAPE_PALM, *LANDSCAPE_HEDGE",skip,GeographicElement,GeographicElement,okay
262,BCA,Lift,N.A,Specialty Equipment,Transport Element,N.A,Equipment,ARC,IfcTransportElement,*LIFT,Please refer to property sets below,Please refer to properties below,N.A,N.A,N.A,N.A,N.A,IfcTransportElementLIFT,okay,TransportElement,#N/A,#N/A
263,LTA,Lift,N.A,Parking,Object,N.A,Object,ARC,IfcTransportElement,*CARLIFT,Please refer to property sets below,Please refer to properties below,N.A,N.A,N.A,N.A,N.A,IfcTransportElementCARLIFT,okay,TransportElement,#N/A,#N/A
264,BCA,Lift,Barrier Free Accessibility,Specialty Equipment,Transport Element,N.A,Equipment,ARC,IfcTransportElement,*LIFT,SGPset_TransportElement,BarrierFreeAccessibility,Boolean,N.A,N.A,TRUE/FALSE,N.A,IfcTransportElementLIFT,okay,TransportElement,TransportElement,okay
265,BCA,Lift,Length,Specialty Equipment,Transport Element,N.A,Equipment,ARC,IfcTransportElement,*LIFT,SGPset_TransportElementDimension,Length,Length,mm,N.A,N.A,N.A,IfcTransportElementLIFT,okay,TransportElement,TransportElement,okay
266,LTA,Lift,Length,Parking,Object,N.A,Object,ARC,IfcTransportElement,*CARLIFT,SGPset_TransportElementDimension,Length,Length,mm,N.A,N.A,N.A,IfcTransportElementCARLIFT,okay,TransportElement,TransportElement,okay
267,BCA,Lift,Width,Specialty Equipment,Transport Element,N.A,Equipment,ARC,IfcTransportElement,*LIFT,SGPset_TransportElementDimension,Width,Length,mm,N.A,N.A,N.A,IfcTransportElementLIFT,okay,TransportElement,TransportElement,okay
268,LTA,Lift,Width,Parking,Object,N.A,Object,ARC,IfcTransportElement,*CARLIFT,SGPset_TransportElementDimension,Width,Length,mm,N.A,N.A,N.A,IfcTransportElementCARLIFT,okay,TransportElement,TransportElement,okay
269,SCDF,Lift,Clear Depth,Specialty Equipment,Transport Element,N.A,Equipment,ARC,IfcTransportElement,*LIFT,SGPset_TransportElementDimension,ClearDepth,Length,mm,N.A,N.A,N.A,IfcTransportElementLIFT,okay,TransportElement,TransportElement,okay
270,SCDF,Lift,Clear Height,Specialty Equipment,Transport Element,N.A,Equipment,ARC,IfcTransportElement,*LIFT,SGPset_TransportElementDimension,ClearHeight,Length,mm,N.A,N.A,N.A,IfcTransportElementLIFT,okay,TransportElement,TransportElement,okay
271,SCDF,Lift,Clear Width,Specialty Equipment,Transport Element,N.A,Equipment,ARC,IfcTransportElement,*LIFT,SGPset_TransportElementDimension,ClearWidth,Length,mm,N.A,N.A,N.A,IfcTransportElementLIFT,okay,TransportElement,TransportElement,okay
272,SCDF,Lift,Fire Fighting Lift,Specialty Equipment,Transport Element,N.A,Equipment,ARC,IfcTransportElement,*LIFT,SGPset_TransportElement,FireFightingLift,Boolean,N.A,N.A,TRUE/FALSE,N.A,IfcTransportElementLIFT,okay,TransportElement,TransportElement,okay
273,SCDF,Lift,Lift Type,Specialty Equipment,Transport Element,N.A,Equipment,ARC,IfcTransportElement,*LIFT,SGPset_TransportElement,LiftType,Label,N.A,N.A,N.A,"Goods Lift, Platform Lift, Bin Lifter, Bed Lift",IfcTransportElementLIFT,okay,TransportElement,TransportElement,okay
274,LTA,Parking Lot,N.A,Parking,Object,N.A,Object,ARC,IfcBuildingElementProxy,*CARLOT,Please refer to property sets below,Please refer to properties below,N.A,N.A,N.A,N.A,N.A,IfcBuildingElementProxyCARLOT,okay,BuildingElementProxy,#N/A,#N/A
275,BCA,Parking Lot,Barrier Free Accessibility,Generic Models,Object,N.A,Object,ARC,IfcBuildingElementProxy,*CARLOT,SGPset_BuildingElementProxy,BarrierFreeAccessibility,Boolean,N.A,N.A,TRUE/FALSE,N.A,IfcBuildingElementProxyCARLOT,okay,BuildingElementProxy,BuildingElementProxy,okay
276,BCA,Parking Lot,Family Parking Lot,Generic Models,Object,N.A,Object,ARC,IfcBuildingElementProxy,*CARLOT,SGPset_BuildingElementProxy,FamilyLot,Boolean,N.A,N.A,TRUE/FALSE,N.A,IfcBuildingElementProxyCARLOT,okay,BuildingElementProxy,BuildingElementProxy,okay
277,LTA,Parking Lot,N.A,Parking,Object,N.A,Object,ARC,IfcBuildingElementProxy,*MOTORCYCLELOT,Please refer to property sets below,Please refer to properties below,N.A,N.A,N.A,N.A,N.A,IfcBuildingElementProxyMOTORCYCLELOT,okay,BuildingElementProxy,#N/A,#N/A
278,LTA,Parking Lot,N.A,Parking,Object,N.A,Object,ARC,IfcBuildingElementProxy,*LORRYLOT,Please refer to property sets below,Please refer to properties below,N.A,N.A,N.A,N.A,N.A,IfcBuildingElementProxyLORRYLOT,okay,BuildingElementProxy,#N/A,#N/A
279,LTA,Parking Lot,N.A,Parking,Object,N.A,Object,ARC,IfcBuildingElementProxy,*COACHLOT,Please refer to property sets below,Please refer to properties below,N.A,N.A,N.A,N.A,N.A,IfcBuildingElementProxyCOACHLOT,okay,BuildingElementProxy,#N/A,#N/A
280,LTA,Parking Lot,N.A,Parking,Object,N.A,Object,ARC,IfcBuildingElementProxy,*ARTICULATEDVEHICLELOT,Please refer to property sets below,Please refer to properties below,N.A,N.A,N.A,N.A,N.A,IfcBuildingElementProxyARTICULATEDVEHICLELOT,okay,BuildingElementProxy,#N/A,#N/A
281,LTA,Parking Lot,N.A,Parking,Object,N.A,Object,ARC,IfcBuildingElementProxy,*BICYCLELOT,Please refer to property sets below,Please refer to properties below,N.A,N.A,N.A,N.A,N.A,IfcBuildingElementProxyBICYCLELOT,okay,BuildingElementProxy,#N/A,#N/A
282,LTA,Parking Lot,Length,Parking,Object,N.A,Object,ARC,IfcBuildingElementProxy,"*CARLOT, *MOTORCYCLELOT, *LORRYLOT, *COACHLOT, *ARTICULATEDVEHICLELOT, *BICYCLELOT",SGPset_BuildingElementProxyDimension,Length,Length,mm,N.A,N.A,N.A,"IfcBuildingElementProxyCARLOT, *MOTORCYCLELOT, *LORRYLOT, *COACHLOT, *ARTICULATEDVEHICLELOT, *BICYCLELOT",skip,BuildingElementProxy,BuildingElementProxy,okay
283,LTA,Parking Lot,Width,Parking,Object,N.A,Object,ARC,IfcBuildingElementProxy,"*CARLOT, *MOTORCYCLELOT, *LORRYLOT, *COACHLOT, *ARTICULATEDVEHICLELOT, *BICYCLELOT",SGPset_BuildingElementProxyDimension,Width,Length,mm,N.A,N.A,N.A,"IfcBuildingElementProxyCARLOT, *MOTORCYCLELOT, *LORRYLOT, *COACHLOT, *ARTICULATEDVEHICLELOT, *BICYCLELOT",skip,BuildingElementProxy,BuildingElementProxy,okay
284,LTA,Parking Lot,Lot Number,Generic Models,Object,N.A,Object,ARC,IfcBuildingElementProxy,"*CARLOT, *MOTORCYCLELOT, *LORRYLOT, *COACHLOT, *ARTICULATEDVEHICLELOT, *BICYCLELOT",SGPset_BuildingElementProxy,LotNumber,Label,N.A,N.A,N.A,123,"IfcBuildingElementProxyCARLOT, *MOTORCYCLELOT, *LORRYLOT, *COACHLOT, *ARTICULATEDVEHICLELOT, *BICYCLELOT",skip,BuildingElementProxy,BuildingElementProxy,okay
285,LTA,Parking Lot,Car Parking Served By Car Lift,Parking,Object,N.A,Object,ARC,IfcBuildingElementProxy,*CARLOT,SGPset_BuildingElementProxy,CarParking_ServedByCarLift,Boolean,N.A,N.A,TRUE/FALSE,N.A,IfcBuildingElementProxyCARLOT,okay,BuildingElementProxy,BuildingElementProxy,okay
286,LTA,Parking Lot,Mechanised Parking System,Parking,Object,N.A,Object,ARC,IfcBuildingElementProxy,*CARLOT,SGPset_BuildingElementProxy,MechanisedParkingSystem,Boolean,N.A,N.A,TRUE/FALSE,N.A,IfcBuildingElementProxyCARLOT,okay,BuildingElementProxy,BuildingElementProxy,okay
287,NPARKS,Parking Lot,Perforated,Parking,Object,N.A,Object,ARC,IfcBuildingElementProxy,"*CARLOT, *MOTORCYCLELOT, *LORRYLOT, *COACHLOT, *ARTICULATEDVEHICLELOT",SGPset_BuildingElementProxy,Perforated,Boolean,N.A,N.A,TRUE/FALSE,N.A,"IfcBuildingElementProxyCARLOT, *MOTORCYCLELOT, *LORRYLOT, *COACHLOT, *ARTICULATEDVEHICLELOT",skip,BuildingElementProxy,BuildingElementProxy,okay
288,NPARKS,Parking Lot,Open At Grade,Parking,Object,N.A,Object,ARC,IfcBuildingElementProxy,"*CARLOT, *MOTORCYCLELOT, *LORRYLOT, *COACHLOT, *ARTICULATEDVEHICLELOT",SGPset_BuildingElementProxy,OpenAtGrade,Boolean,N.A,N.A,TRUE/FALSE,N.A,"IfcBuildingElementProxyCARLOT, *MOTORCYCLELOT, *LORRYLOT, *COACHLOT, *ARTICULATEDVEHICLELOT",skip,BuildingElementProxy,BuildingElementProxy,okay
289,LTA,Parking Lot,Parking Use,Parking,Object,N.A,Object,ARC,IfcBuildingElementProxy,"*LORRYLOT, *COACHLOT, *ARTICULATEDVEHICLELOT",SGPset_BuildingElementProxy,ParkingUse,Label,N.A,N.A,N.A,"Electric Vehicle, Oil Tanker, Buggy, Vacuum Truck, Mobile Tanker","IfcBuildingElementProxyLORRYLOT, *COACHLOT, *ARTICULATEDVEHICLELOT",skip,BuildingElementProxy,BuildingElementProxy,okay
